x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,data_quality
0.9,1.34,4.08,6.94,3.88,1.57,1.63,1.77,0.63,0.68,0.6,0.49,0.54,4.9,1.58,0
2,1.73,9.11,4.18,5.3,2.48,1.49,2.51,1.16,1.23,1.59,1.22,0.98,4.9,0.99,1
1.95,3.02,14.45,9.83,17.06,2.36,1.6,2.53,2.57,1.4,1.27,1.51,0.98,8.31,2.18,1
4.42,4.56,13.55,13.08,16.7,5.06,1.98,3.45,4.48,2.65,2.74,2.03,1.65,15,2.61,1
4.24,2.94,10.74,16.53,21.52,4.72,1.46,2.49,5.97,3.98,4.35,2.18,2.27,15,2.73,1
1.64,2.74,9.91,4.73,10.01,1.39,1.54,1.97,2.44,1.06,1.08,1.33,0.38,4.6,0.85,1
0.59,1.11,4.95,2.89,6.53,1.94,0.69,0.91,0.55,0.3,0.42,0.58,0.37,15.92,2.42,1
4.17,3.31,15.35,13.44,15.71,5.71,1.62,7.47,6.69,3.81,4.21,2.25,1.85,15.5,2.93,1
2.48,2.99,8.65,7.78,13.64,2.31,1.55,1.8,2.18,1.33,1.06,1.33,0.67,1.06,1.33,1
3.16,3.59,13.8,11.69,14.21,4.7,1.51,4.01,2.96,2.56,2.3,1.64,2.12,15,3.08,1
1.14,1.64,4.34,4.68,4.34,2.92,1.19,1.63,1.1,1.03,0.95,1.05,0.54,9.36,1.06,1
0.73,2.6,14,6.5,9.33,2.8,2,1.75,2.3,1.75,1.75,1.5,1,10.5,1,0
1.07,1.67,6.94,3.86,7.78,1.79,1.01,1.02,1.26,0.97,0.87,0.51,0.65,6.52,1.04,1
3.31,2.63,11.76,12.81,13.76,4.17,1.44,3.71,4.02,2.28,2.38,1.54,1.77,12.99,2.84,1
3.58,2.17,7.72,6.58,12.17,3.79,1.08,2.87,3.9,1.06,1.85,1.42,1.1,15,2.5,0
1.05,1.62,4.6,3.38,8.85,0.84,1.01,0.76,0.49,0.46,0.58,0.38,0.46,3.36,1.39,0
0.7,1.08,6.61,2.1,3.15,0.76,0.46,0.92,0.67,0.27,0.34,0.55,0.3,1.54,1.57,1
1.76,1.76,11.28,5.53,10.11,2.2,1.89,2.34,3.28,0.88,0.67,0.99,0.7,8.19,1.11,1
0.67,0.91,3.86,2.33,4.28,1.22,0.35,0.57,0.41,0.24,0.38,0.12,0.36,13.47,1.56,0
0.74,0.85,3.72,3.14,6.12,2.02,0.63,0.63,0.44,0.35,0.41,0.56,0.34,7.35,1.93,1
0.79,1.27,6.03,2.9,7.1,2.26,1.27,1.12,0.85,1.12,1.36,0.54,0.36,11.92,1.99,0
3.9,3.79,12.26,13.28,14.17,5.36,2.1,5.22,5.67,4.46,3.17,1.64,1.64,14.99,3.02,1
1.34,1.73,5.1,5.47,17.06,2.61,1.17,0.96,1.23,1.26,1.49,0.86,0.86,8.3,1.47,1
0.61,0.78,5.36,3.21,5.92,2.02,0.83,1.42,0.54,0.33,0.62,0.41,0.37,3.67,1.45,0
0.67,0.9,6.12,2.91,2.91,1.74,0.64,1.43,0.53,0.39,0.4,0.37,0.36,6.12,2.14,0
0.61,0.88,3.47,2.96,4.9,1.75,0.61,1.06,0.65,0.33,0.37,0.21,0.39,5.51,2.24,0
1.68,1.8,7.26,8.16,9.77,2.02,1.35,1.44,1.44,1.9,1.38,0.83,0.62,7.39,1,0
5.87,2.47,9.84,12.61,32.47,1.8,5.95,1.99,1.43,1.03,0.84,1.71,0.93,2,0.59,1
3.31,2.34,10.37,11.87,15.62,5.31,1.68,3.43,3.63,2.75,2.59,1.5,1.57,12,2.88,1
10.63,3.76,26.02,13.17,34.54,3.93,8.05,4.71,2.75,1.99,2.1,2.3,1.09,1.9,1.86,1
0.69,0.91,4.85,2.94,6.36,1.88,0.65,1.21,0.24,0.21,0.38,0.37,0.31,9.49,1.78,0
4.8,2.12,5.82,3.24,10.79,1.31,3.28,0.72,0.62,0.49,0.49,0.4,0.44,0.5,0.33,1
2.89,1.78,25.27,7.84,36.1,5.39,2.4,5.52,4.69,2.54,1.64,1.2,1.2,7,2.28,0
3.55,3.33,8.07,12.59,16.52,4.99,1.6,5.03,3.9,3.01,2.7,1.25,1.6,12.75,2.4,1
1.3,1.97,4.21,5.5,4.4,3,0.7,1,1.22,1,2.2,1,1,8,1.1,0
3.33,1.88,14.75,6.67,17.59,4.43,2.37,2.17,3.47,2.89,2.17,1.45,0.96,7.22,2.08,0
0.6,0.95,3.2,2.39,3.24,2.01,0.37,0.86,0.55,0.38,0.39,0.18,0.35,9.79,1.39,0
2.29,1.68,30.16,7.31,23.52,5.28,2.89,4.22,5.4,2.14,2.14,1.76,1.21,13.19,1.42,0
2.39,3.34,13.59,10.25,19.3,2.9,1.85,2.49,2.83,2.09,1.32,1.48,0.82,7.27,1.04,1
1.6,1.65,14.74,5.05,10.11,2.32,1.59,2.06,3.73,1.1,0.84,1.56,0.8,11.46,1.31,1
0.93,2.05,6.09,2.92,6.71,1.99,1.3,1.12,1.49,0.92,0.75,0.68,0.68,11.18,1.37,0
2.26,2.11,6.03,6.03,16.59,15.08,3.77,15.08,8.29,3.58,1.51,1.13,0.94,15.46,1.65,0
3.51,1.88,14.92,6.5,13.48,4.62,3.27,6.14,4.33,2.05,2.84,1.32,0.83,7.94,1.83,1
1.24,1.49,3.38,4.84,3.49,2.25,1.35,0.68,1.58,0.9,0.9,0.79,0.51,2.87,0.73,0
0.93,1.12,6.07,3.24,5.36,0.51,0.88,1.07,1.15,0.37,0.4,0.84,0.42,4.06,0.77,1
1.1,2.07,3.64,5.18,5.47,4,1.07,1.42,1.32,1.41,1.58,0.93,1.21,7,0.96,0
1.82,2.71,9.07,7.7,11.01,2.19,1.7,1.68,1.39,1.03,0.94,1.29,0.57,17.02,3.07,1
4.22,2.62,9.7,11.57,18.37,4.19,1.57,4.41,4.33,2.32,2.2,1.6,1.83,14,2.86,1
1.34,1.89,7.26,5.47,8.56,2.59,0.99,0.79,0.98,1.04,1.05,0.74,0.83,12.97,1.38,1
5.38,4.25,12.86,14,11,3.44,1.9,4,4.41,2.72,3.65,1.75,1.83,13,4.29,0
0.62,1.99,11.17,3.39,8.62,1.54,1.81,1.23,1.23,0.62,0.62,0.18,0.42,12.43,0.49,0
2.04,2.7,6.98,5.59,9.48,2.48,1.86,1.81,1.25,1.07,1.02,1.25,0.58,20.78,4.97,1
0.91,1.02,5.67,3.67,4.98,2.65,0.87,0.96,0.61,0.33,0.43,0.49,0.37,7.96,1.87,1
1.11,1.68,5.69,3.61,5.14,2.41,2.48,2.79,3.13,0.42,0.86,0.98,0.45,7.34,0.81,1
1.05,1.77,7,3.8,7.58,1.6,1.07,0.67,1.43,0.94,0.88,0.54,0.78,6.8,1.2,1
0.53,0.94,6.55,1.8,5.46,1.72,0.72,1.4,0.89,0.37,0.53,0.35,0.3,3.28,1.87,0
0.65,0.88,9.79,2.91,2.91,1.74,0.48,0.89,0.37,0.29,0.26,0.28,0.34,6.12,2.65,1
2.72,3.54,14.14,10.82,20.06,2.37,2.05,2.1,2.77,1.49,1.14,1.15,0.48,7.27,1.48,1
3.97,2.75,8.81,7.71,13.83,5.34,1.35,4.77,3.66,2.39,2.16,1.78,1.5,11,2.23,1
2.08,4.8,9.46,9.64,14.95,2.88,2.14,3.35,5.92,2.15,1.78,2.7,1.07,11.18,3.4,1
1.86,2.29,7.03,6.55,9.97,1.02,1.52,1.44,1.56,0.82,0.6,0.61,0.55,5.31,0.7,1
0.88,1.08,5.59,2.45,9.79,2.2,0.44,1.35,0.46,0.31,0.37,0.41,0.34,18.36,1.1,1
0.79,1.43,7.27,4.28,6.85,1.93,1.91,0.85,1.91,0.65,0.83,1.15,0.96,3,1.53,1
0.8,1.44,5.83,3.58,7.31,2.46,0.84,2.24,0.78,1,1.7,1.02,0.44,12.71,2.22,0
0.85,0.91,4.41,2.66,3.63,1.84,0.56,0.67,0.52,0.35,0.39,0.16,0.34,6.12,1.62,0
1.38,3.28,10.83,10.11,10.85,1.91,2.24,1.14,2.79,1.56,1.45,1.08,1.52,7.64,2,1
2.04,3.34,8.39,7.34,14.26,2.79,2.53,2.73,4.44,2.23,1.79,2.5,1.35,11.4,4.04,1
6.03,1.49,7.87,4.95,7.04,17.33,6.5,8.66,5.78,7.94,0.94,1.52,1.01,13.72,1.62,0
1.69,1.96,5.22,6.19,11.08,1.38,1.39,1.38,0.7,0.86,0.76,1.08,0.43,10.83,1.46,0
1.12,1.91,8.45,5.02,7.05,1.24,1.07,0.81,2.2,1.1,0.79,0.61,0.39,3.45,0.87,0
1.26,1.73,5.1,5.05,9.34,2.46,1.17,0.79,1.08,1.09,1,0.86,0.63,11.42,0.99,0
0.76,1.45,3.28,2.72,4.42,1.88,0.88,0.98,0.91,0.76,0.79,0.94,0.5,7.13,0.84,1
1.88,2.55,9.42,7.56,10.81,1.49,1.6,1.57,2.36,0.97,0.86,0.9,0.61,6.37,0.88,1
0.51,0.88,4.08,2.57,6.12,1.62,0.61,0.69,0.39,0.31,0.31,0.24,0.36,7.35,2.79,1
1.18,2.17,18.01,4.67,12.79,2.22,1.55,2.11,1.47,0.82,1.02,0.82,0.62,13.97,0.91,0
1.02,0.81,3.78,3.66,3.22,1.02,1.02,1.09,1.14,1.05,1.11,0.79,0.88,3.95,1,0
1.97,1.73,12.54,5.28,10.18,1.75,1.56,1.85,2.9,0.92,0.78,1.58,0.7,9.83,1.18,1
2.99,1.99,6.57,5.45,5.73,4.13,1.75,0.53,1.39,3.21,1.63,1.35,0.43,6.76,1.13,1
1.63,2.27,10.1,5.13,8.93,1.94,1.5,1.5,1.11,0.85,0.75,1.16,0.5,5.04,1.79,1
1.54,1.66,11.09,5.06,8.55,1.86,1.29,1.78,2.88,0.94,0.74,1.48,0.73,8.19,1.06,1
1.52,1.38,10.83,4.73,8.45,1.88,1.66,1.81,2.42,0.95,0.72,1.25,0.67,6.55,1.09,1
2.58,2.89,10.88,10.23,13.99,3.92,1.47,3.54,3.73,2.34,2.57,2.39,1.69,11.17,2.63,1
4.05,2.41,13.19,12.94,19.1,8.8,2.76,2.64,8.04,1.13,2.01,1.13,0.8,20.36,2.17,0
3.54,3.13,8.46,6.24,16.9,4.84,1.51,5.14,6.39,4.01,3.15,2.75,2.75,12,1.61,0
1.87,2.08,9.41,6.04,5.99,1.68,1.48,2.45,0.9,1.04,0.82,0.76,0.41,8.17,2.02,0
0.84,1.84,11.17,3.91,10.62,2.51,1.72,1.58,1.11,0.52,0.83,0.18,0.49,8.03,0.42,0
0.62,1.03,2.97,2.66,2.45,1.12,0.56,0.78,0.42,0.23,0.33,0.45,0.29,6.12,1.67,0
0.77,1.66,11.09,4.08,6.99,2.53,1.2,1.16,1.09,1.92,1.08,0.91,0.58,6.46,0.72,0
1.74,1.35,4.34,5.46,10.16,1.65,0.57,1.98,1.54,1.47,1.92,1.8,0.56,6,1.1,0
0.95,1.34,6.89,5.4,7.83,1.21,0.93,0.65,1.12,0.84,0.65,0.37,0.53,6.52,0.84,0
1.21,1.9,17.53,5.24,5.73,1.85,0.77,1.28,1,0.89,1.1,0.9,0.78,14.09,1.04,1
0.91,0.98,6.54,4,6.42,1.35,1.19,0.73,1.41,0.64,0.7,0.67,0.74,3,1.04,0
2.63,1.06,2.38,2.62,5.43,0.73,1.2,0.83,0.42,0.44,0.39,0.53,0.2,0.98,0.49,0
3.41,3.51,12.28,12.97,17,4.9,1.53,5.06,4.57,4.05,3.47,2.09,1.98,10,2.44,1
1.89,2.81,10.88,7.17,11.26,1.97,1.75,1.7,1.46,1.09,0.95,1.49,0.53,21.97,2.34,1
3.79,3.54,5.85,7.45,10.64,1.86,2.02,1.66,2,1.93,1.86,1.95,0.63,2.66,2.31,1
4.78,1.69,10.78,6.74,21.82,3.97,1.79,3.76,6.16,3.21,1.95,0.87,0.95,7.22,2.4,0
0.54,0.9,3.06,3.26,5.02,0.61,1.02,1.8,0.49,0.37,0.49,0.22,0.34,8.26,1.82,0
1.74,1.68,11.17,5.04,9.55,1.88,1.58,1.68,2.15,0.88,0.63,1.02,0.67,8.19,1.06,1
1.51,1.57,10.71,4.91,8.53,1.68,1.43,1.7,2.62,0.89,0.65,1.09,0.66,8.19,1.1,1
2.08,0.98,2.4,2,7.83,1,1.6,1,0.59,0.5,0.67,0.35,0.21,1.07,0.5,0
2.26,3.92,15.83,8.97,52.77,6.76,3.82,7.12,4.6,4.15,2.75,2.33,1.21,10.55,1.51,0
0.82,2.03,11.56,9.74,7.55,2.02,1.35,1.85,1.2,1.06,0.85,1.11,0.73,8.71,0.98,1
0.99,1.95,7.52,3.94,8.37,1.25,0.88,0.72,1.25,0.81,0.74,0.7,0.5,8.39,1.1,1
0.75,1.47,6.98,2.7,5.09,1.7,1.02,1.53,1.07,1.55,1.78,0.6,0.43,18.75,1.57,0
1.02,1.36,4.41,4.82,3.09,3.45,1,1.63,0.9,0.33,0.8,0.66,0.69,8.23,0.93,1
0.84,1.03,4.08,4.9,4.9,1.02,0.82,0.73,0.45,0.37,0.41,0.8,0.78,7.35,1.84,0
1.56,2.29,7.31,6.6,9.55,2.11,1.18,2.24,2.23,1.32,1.3,0.68,1.31,8.41,1.88,1
1.64,2.12,7.43,6.61,9.06,2.65,1.25,1.32,1.66,1.75,1.52,0.97,0.87,10.38,1.15,1
1.33,1.81,3.44,3.38,6.13,3.51,1.73,2.02,1.6,1.39,1.47,0.82,1.02,8,1.3,1
1.09,1.45,6.04,4.01,8.29,1.82,1.14,0.82,0.6,0.61,0.57,0.51,0.27,1.53,0.69,1
1.56,1.63,12.79,4.51,9.19,1.76,1.34,1.93,2.15,0.87,0.65,1.56,0.62,9.01,1.13,1
0.55,1.01,4.88,3.18,5.82,2.21,0.99,1.54,0.72,0.39,0.5,0.45,0.32,5.82,1.6,1
2.23,2.4,7.49,6.4,9.51,1.25,1.63,1.6,1.4,0.75,0.66,1.05,0.62,5.54,1.28,1
2.48,4.2,11.53,10.31,14.77,2.76,2.47,2.57,3.86,1.73,1.4,1.8,1.13,9.78,1.72,1
1.07,1.21,4.84,4.53,6.78,1.08,1.08,0.53,0.6,0.46,0.45,0.23,0.59,4.13,1.72,0
0.93,1.49,10.6,2.02,10.1,2.22,1.03,1.21,1.01,1.29,1.46,0.48,0.51,5.09,0.86,0
0.73,1.05,4.57,3.02,3.06,2.45,0.69,0.78,0.37,0.31,0.45,0.28,0.39,11.63,2.94,0
3.11,3.13,11.6,9.79,13.25,3.82,1.33,3.1,2.99,1.54,2.14,1.79,2.03,15,2.26,1
2.15,2.67,12.08,10.14,13.85,2.76,1.65,2.11,1.39,1.88,1.2,1.5,0.64,5.19,0.56,1
1.8,1.72,10.81,5.92,8.52,2.13,1.87,2.29,3.05,1.02,0.75,0.82,0.74,9.83,1.05,1
2.38,2.29,7.18,6.54,10.47,1.18,1.68,1.76,2.04,0.77,0.73,0.59,0.63,7.5,1.16,1
4.64,3.38,14.58,16.9,17.2,5.94,1.96,5.03,5.25,3.85,2.64,2.36,2.37,15,1.86,1
3.3,2.2,11.16,8.03,12.95,4.33,1.16,3.98,4.11,2.53,2.31,1.49,1.93,9.24,1.42,1
0.84,4.69,13.27,3.07,11.13,2.23,1.96,2.46,1.12,0.81,1.2,0.49,0.98,6.98,0.47,0
0.62,1.06,6.12,2.05,2.45,1.22,0.58,1.18,0.41,0.33,0.38,0.51,0.27,9.18,1.89,0
3.29,2.97,9.3,7.53,15.01,4.14,1.55,4.12,4.47,2.39,2.16,1.65,1.59,14,2.85,1
3.06,2.69,10.8,11.17,13.43,3.8,1.39,3.4,3.69,2.02,1.77,2.37,1.81,11.17,2.06,1
1.99,1.72,6.68,3.43,7.39,1.42,0.81,0.63,1.57,0.93,0.85,0.69,0.71,6.06,1.18,0
0.76,1.4,7.41,4.02,6.04,1.13,1.47,1.63,1.74,0.51,0.35,0.81,0.51,6.32,0.92,1
1.28,2.39,8.09,6.36,6.57,2.04,1.88,1.45,0.95,0.73,0.72,0.62,0.71,11.11,2.78,0
0.97,1.9,6.29,3.81,8.2,1.46,1.32,0.59,1.29,1.76,1.46,1,0.7,3.51,0.82,0
1.2,1.53,6.59,4.52,6.16,0.9,1.53,1.7,1.27,0.49,0.38,0.34,0.37,4.74,0.91,1
0.78,1.07,8.63,4.45,9.49,1.53,1.84,0.81,0.55,0.51,0.44,0.33,0.24,4.94,1.18,1
0.55,0.91,5.23,2.75,5.02,1.65,0.46,1.06,0.31,0.29,0.45,0.49,0.34,10.41,2.45,0
1.47,2.4,4.9,4.28,10.44,4.41,1.97,3.45,1.91,1.94,2.11,0.68,0.83,7.58,1.48,0
2.89,1.73,16.12,7.89,22.62,7.79,2.17,4.37,4.5,3.27,1.94,1.44,0.67,8.66,2.31,0
0.79,1.56,7.89,3.23,3.97,2.19,0.95,1.27,0.64,0.49,0.62,0.31,0.25,7.65,2.16,1
1.72,1.69,11.4,5.27,11.61,1.97,1.5,1.87,2.83,1.04,0.74,2.46,0.79,8.19,1.04,1
1.3,2.06,5.88,4.13,7.44,2.62,1.11,0.8,0.92,1.09,1.1,0.83,0.77,7.78,1.49,0
1.71,1.59,11.65,5.26,10.17,1.41,1.37,1.72,2.12,0.78,0.75,1.45,0.69,8.68,1.13,1
4.33,3.22,8.93,9.32,15.49,4.75,1.44,5.08,3.97,2.41,2.14,1.54,2.07,14,2.18,1
1.3,1.97,4.21,5.5,4.4,3,0.7,1,1.22,1,2.2,1,1,8,1.1,0
0.69,0.83,3.37,2.86,2.45,1.39,0.42,0.66,0.45,0.31,0.27,0.39,0.26,12.24,1.43,0
0.81,1.08,4.05,3.01,8.57,1.57,0.82,0.94,0.51,0.34,0.36,0.52,0.36,10.71,1.53,1
0.68,1.77,3.15,3,4.93,1.87,0.55,1.05,0.78,0.56,0.68,0.64,0.71,6.11,0.61,1
2.29,1.68,30.16,7.31,23.52,5.28,2.89,4.22,5.4,2.14,2.14,1.76,1.21,13.19,1.42,0
1.09,1.92,3.7,5.06,8.08,4.81,1.42,1.71,1.53,1.49,1.21,0.75,0.71,11.28,1.02,1
0.75,1.52,6.98,2.85,6.99,2.86,1.44,2.03,1.07,1.59,1.78,1.22,0.43,32.42,2.25,0
0.83,1.3,5.68,3.58,5.98,0.94,1.83,1.84,0.95,0.5,0.46,0.51,0.43,4.05,0.76,1
0.91,2.19,15.83,9.64,4.49,3.43,1.27,2.22,1.53,1.06,0.55,0.59,1.21,7.92,1.35,0
1.21,1.9,17.53,5.24,5.73,1.85,0.77,1.28,1,0.89,1.1,0.9,0.78,14.09,1.04,0
1.35,1.31,6.79,3.65,5.36,0.61,1.01,1.22,1.55,0.48,0.53,0.56,0.47,3.25,0.78,1
4.71,5.33,15.22,9.87,41.52,22.74,13.78,11.62,15.41,15.87,12.22,9.25,1.45,6,2.5,0
1.11,1.91,7.17,3.91,7.43,0.93,0.93,1.12,1.7,0.89,0.97,0.37,0.6,2.35,1.12,0
0.67,0.74,5.45,2.61,4.68,1.47,0.53,0.73,0.35,0.52,0.43,0.28,0.34,5.69,1.16,0
1.03,1.01,4.29,2.37,3.93,0.93,0.55,0.7,0.57,0.31,0.32,0.31,0.31,1.56,1.21,1
0.67,0.91,5.51,3.47,7.35,1.65,0.56,0.9,0.61,0.31,0.33,0.55,0.34,12.24,2.26,0
4.53,2.54,9.68,8.15,14.04,5.35,1.62,4.68,4.98,2.7,3.33,1.4,2.05,13,2.95,1
4.21,3.27,14.01,11.77,16.13,4.96,1.67,3.47,5.45,3.87,3.19,1.99,1.89,14.5,3.62,1
1.45,3.08,6.23,7.52,9.6,2.18,0.78,1.04,1.09,1.25,2.33,1.04,0.99,3.89,1.3,0
1.75,1.62,12.45,5.33,9.83,1.39,1.44,1.86,3.17,0.93,0.66,1.31,0.66,9.83,1.35,1
3.05,2.87,11.22,11.62,12.16,3.49,1.23,2.95,3.33,1.65,1.81,1.98,1.51,11.17,2.3,1
0.76,1.23,2.28,1.73,4.34,0.69,0.39,0.34,0.55,0.22,0.23,0.2,0.33,1.56,0.85,0
0.94,1.69,5.42,4.1,5.48,1.18,0.83,0.91,0.83,0.68,0.56,0.56,0.68,6.79,1.59,1
2.75,3.84,14.06,9.93,20.2,3.27,1.95,1.74,1.74,1.31,1.07,1.87,1.58,10.2,2.8,1
1.46,2.08,20.94,4.32,11.46,4.73,1.1,2.73,2.98,2.48,2.33,1.74,0.53,14,1.08,0
2.73,3.62,9.32,11.67,18.14,2.93,2.39,2.49,3.85,1.33,1.24,2.21,1.39,9.53,1.94,1
0.73,0.9,4.79,3.06,4.28,1.84,0.47,0.67,0.5,0.36,0.37,0.32,0.33,8.57,2.05,0
2.38,2.53,8.35,9.05,11.34,1.35,1.43,1.51,2.25,0.96,1.01,0.94,1.03,5.5,1.39,1
1.58,1.57,5.79,3.91,6.86,1.15,2.24,2.31,1.19,0.44,0.31,0.42,0.41,5.97,1.27,1
0.8,1.57,13.97,2.31,3.35,2.54,1.33,2.35,1.57,1.76,1.76,0.57,0.52,6.26,0.83,1
2.06,3.69,13.47,9.88,20.85,2.43,1.78,1.89,3.05,1.83,1.17,1.04,1.03,6.75,1.53,1
0.66,1.77,7.4,4.03,5.89,4.27,0.75,3.06,1.42,1.02,0.74,0.83,0.4,6.78,1.23,1
1.92,2.13,7.45,7.09,8.13,2.98,1.24,2.97,3.22,1.84,1.96,2.26,1.48,10,1.23,1
1.33,1.73,6.57,4.42,6.98,1.35,1.22,1.24,1.39,1.19,1.12,0.96,0.96,4.68,1.32,1
2.84,2.77,9.06,10.77,13.07,3.51,1.39,3.43,3.69,2.54,2.21,2.27,1.64,11.17,2.63,1
1.64,2.85,8.71,9.82,3.01,2.53,2.48,4.91,1.9,1.69,2.9,1.13,0.99,5.15,0.95,0
3.16,4.05,12.02,13.85,27.09,2.92,2.16,2.89,3.77,2.16,2.59,2.45,2.26,17.09,3.31,1
1.74,1.65,7.07,5.74,6.65,1.85,1.78,3.69,3.19,2.64,3.91,0.58,0.86,3.96,1.19,0
2.24,2.45,7.5,10.84,18.08,2.39,1.74,2.28,3.66,1.15,1.46,1.94,1.68,12.46,2.63,1
1.25,1.88,7.89,4.31,6.36,0.67,1.4,1.31,1.57,0.55,0.44,1.17,0.61,4.16,0.94,1
1.2,1.89,2.85,4.39,5.34,2.47,1.05,0.99,1.49,1.23,1.43,0.44,1.06,3.56,0.89,0
2.22,2.45,10.04,7.26,10.69,1.39,1.58,1.91,2.87,0.88,0.62,1.37,0.74,7.27,1.6,1
2.09,2.29,9.69,6.5,9.67,1.34,1.4,1.71,2.57,0.78,0.64,1.27,0.76,7.27,1.37,1
3.29,2.66,11.96,8.93,13.82,2.88,1.36,2.75,3.42,2.44,1.58,1.71,0.96,11.17,1.55,1
1.29,1.27,7.78,4.68,7.69,1.21,1.08,0.51,0.57,0.44,0.5,0.33,0.54,9.3,1.87,1
1.28,2.67,8.06,7.18,6.61,5.48,0.68,1.29,1.13,0.6,1.14,0.81,0.81,19.35,1.13,0
2.28,3.82,10.6,8.8,11.35,1.94,1.83,1.2,1.96,1.06,0.94,0.91,0.88,7.27,1.49,1
1.51,2.63,11.7,6.42,12.08,1.59,1.59,2.02,3.45,1.06,0.95,1.18,0.73,5.19,0.95,1
2.69,2.78,11.56,10.75,15.63,2.93,1,3.77,3.94,1.49,1.78,1.86,1.48,11.17,2.36,1
1.46,3.23,8.75,9.47,11.03,2.61,1.83,2.44,3.11,1.68,1.07,1.01,1.47,12.46,2.69,1
1.26,2.57,8.85,6.84,10.88,1.9,1.27,1.49,1.97,1.15,1.22,1.23,0.8,4.15,1.26,1
2.57,1.87,15.59,6.71,68.01,3.42,2.68,1.38,1.81,1.53,1.01,0.83,0.61,7,1.19,1
0.98,1.5,6.05,3.72,6.14,1.8,0.92,0.97,1.48,0.88,0.72,0.47,0.55,5.25,0.96,1
2.01,2.27,9.43,7.38,13.41,1.73,1.24,2.02,2.73,0.97,0.72,1.3,0.88,8.31,1.61,1
2.06,4.05,9.43,9.69,14.22,2.83,2.08,2.94,5.13,1.94,1.73,2.49,1.1,10.25,3.37,1
1.82,3.61,8.54,7.37,14.21,2.91,2.36,2.7,4.96,2.1,1.61,2.16,1.46,13.41,3.52,1
0.98,2.75,12.89,6.11,6,4.21,2.25,4.06,2.41,2.01,2.21,1.92,1.07,12,2.15,1
1.45,1.87,7.09,4.59,6.49,1.48,1.42,1.36,1.48,1.09,1.09,1,0.9,4.68,1.5,1
1.45,2.64,7.4,5.62,8.94,1.01,1.76,1.26,1.29,0.8,0.77,0.84,0.54,7.93,0.96,1
2.47,3.02,10.22,7.68,8.92,2.64,1.74,2.09,2.45,1.1,0.82,0.44,0.97,7.27,1.32,1
1.4,1.85,6.05,4.47,4.99,1.7,1.57,1.44,1.34,1.55,0.96,1.32,1.17,3.5,1.05,1
4.32,3.4,9.43,11.49,11.52,3.84,1.66,3.74,3.92,2.63,2.53,2.61,1.43,14.89,2.81,1
3.26,3.65,12.25,12.84,13.51,3.38,1.29,3.6,4.46,2.49,2.33,2.54,1.92,14.15,2.52,1
1.87,2.68,11.23,8.54,11.14,1.99,1.39,1.99,2.89,0.93,1.26,1.46,0.74,6.23,1.2,1
0.93,2.4,32.16,9.29,4,2.86,0.79,0.6,1.29,0.79,2.14,0.79,0.59,4.29,1.02,0
1.46,1.3,4.23,2.93,4.98,1.23,1.41,1.76,1.52,1.49,1.32,1.19,0.98,4.39,1.13,0
1.93,2.32,7.36,5.23,6.44,1.43,1.25,1.44,1.64,1.03,1.09,1.23,1.32,5.27,1.39,0
1.52,3.88,5.68,6.89,7.87,3.27,2.51,4.35,2.84,2.56,2.56,3.18,1.11,9.09,2.68,1
0.87,0.87,3.61,1.95,5.21,1.45,1.01,2.89,1.23,1.45,1.08,0.51,1.01,4.7,1.95,0
1.46,1.99,6.89,6.81,8.68,1.04,1.33,1.39,1.43,0.74,0.85,1.01,0.58,6.36,0.97,1
1.52,2.1,5.74,4.35,4.94,1.69,1.35,2.04,1.3,1.19,1.27,1.11,0.85,6.92,1.47,1
1.37,2.11,11.17,3.41,9.25,3.67,1.3,1.79,2.13,1.03,0.82,2.33,0.97,10,1.85,0
2.94,2.4,6,8.5,14.5,5,2.17,3.67,2.33,1,2.33,0.83,0.53,13.5,1.94,0
1.61,2.84,9.79,5.56,6.5,5.11,2.54,3.3,2.14,1.34,1.3,1.43,1.59,9.55,1.58,1
0.85,1.52,9.13,3.94,8.03,3.37,3.33,3.49,2.64,1.11,1.1,5.96,0.44,8.78,1.95,1
2.8,1.96,9.61,7.73,11.41,2.75,1.83,2.08,2.03,1.64,1.3,1.13,0.63,7.21,1.54,1
1.5,2.33,6.17,6.33,8.14,1.13,1.38,1.29,1.89,0.8,1.15,0.8,0.65,4.67,1,1
2.07,3.8,25.92,11.37,25.97,3.25,1.45,1.99,3.8,1.77,1.95,1.41,0.65,5.19,1.47,0
2.93,6.15,23.83,28.73,57.37,4.03,3,3.52,4.12,2.23,2.09,2.11,1.29,12.68,1.84,1
1.56,2.42,6.99,7.35,7.96,2.01,1.63,1.72,1.11,0.84,0.78,1.91,0.61,18.57,1.97,1
1.33,3.66,16.88,12.78,20.08,2.42,2.34,2.41,2.25,2.42,1.56,0.86,0.83,6.23,1.87,0
1.9,4.64,10.86,12.62,15.67,3.65,2.45,6.94,4.84,4.83,2.22,2.96,1.42,16.45,2,0
3.13,5.49,13.96,16.74,23.29,3.07,1.98,2.26,4.31,2.44,1.32,2.44,1.84,19.42,3.03,1
2.31,3.57,20.2,11.85,18.18,2.63,1.45,2.44,4.39,1.56,2.37,1.5,0.6,9.35,1.66,1
3.6,4.61,29.29,9.42,12.21,2.78,2.62,3.39,3.15,2.94,3.22,2.48,1.92,15,2.13,1
